Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1710560507	1710560568	0.3106763617133798	-531428646.21580917	0.9956472921987619	2.2855761308970173e-71	0.0026742943275630646
1710560716	1710560765	3.7207755102040796	-6364610264.98367	0.9983588457257598	4.1680643760256046e-67	0.02200472310510754
1710560931	1710560987	3.7102320574162673	-6346573939.691934	0.9981175198291974	2.83040306148366e-75	0.021926966815822332
1710561171	1710561245	2.8627210662717517	-4896857377.154252	0.9989085019580628	2.1919125426928117e-108	0.011152222137545938
1710561365	1710561465	1.8437945394539448	-3153921621.2421155	0.979903214294827	5.790845938974744e-85	0.026672958930810387
1710561596	1710561676	1.4646515471167365	-2505374582.313235	0.9136299490175064	3.1029000777022504e-43	0.050989815156105185
1710561837	1710561928	0.47944545309762715	-820119001.8297671	0.473175004434222	4.9831520011060775e-14	0.0536248992947949
1710562044	1710562123	1.9261764849074965	-3294842276.462909	0.9998353791367266	1.9587870142203777e-147	0.002816624167462664
1710562259	1710562346	2.1495753444630736	-3676980307.89398	0.7345917116542505	3.2923805823578145e-26	0.14014494513539308
1710562487	1710562586	3.1871272727272744	-5451778254.968705	0.9849968675198647	2.854138034328685e-90	0.03993807120442459
1710562707	1710562800	0.48887633911252887	-836251533.9773836	0.4368859788157556	5.589176040953366e-13	0.058182508216196804
1710562914	1710563001	1.3213222643435154	-2260202772.2567587	0.9992838423872071	1.8791927476340778e-135	0.0038367116770639128
