Start	End	Slope	Intercept	R-squared	P-value	Standard Error
1709905584	1709905642	0.2629852963794641	-449679541.4587216	0.9677268256097161	1.9069914544889733e-43	0.006417736863998447
1709905777	1709905851	0.2749941799333579	-470213658.0344164	0.9820625611398263	1.2911146315600811e-64	0.004379937301077567
1709906004	1709906064	0.26527735482078374	-453598861.5714118	0.9700432187307838	6.967784422383225e-46	0.006121223174727909
1709906242	1709906307	0.2642431818181818	-451830587.8297241	0.9809236031484876	6.922038551642231e-56	0.004642630256049565
1709906439	1709906514	0.24523817923186353	-419333865.17018545	0.9800297826232794	8.650191629426634e-64	0.004097306117737605
1709906666	1709906727	0.2449023268112113	-418759643.23338854	0.9695712836144065	1.8968283485307014e-46	0.0056483142296236575
1709906905	1709906968	0.26105457949308764	-446378551.84323835	0.9755906521394353	6.810085854597067e-51	0.005287016572744466
1709907111	1709907179	0.2680081116158339	-458268498.86917657	0.9816618086094274	4.843814010072413e-59	0.004508927724532827
1709907333	1709907391	0.2513683595312069	-429816124.83058935	0.9776737251075268	6.273285140668755e-48	0.005076071833762547
1709907572	1709907634	0.2590082848581	-442879750.72618955	0.9719481491691871	2.856781957330452e-48	0.005680639674816897
1709907776	1709907843	0.251089153164658	-429338819.91274434	0.978729115523037	4.480963510350209e-56	0.0045912695867756665
1709907996	1709908055	0.2553473991817649	-436620082.98242235	0.9747871687834425	2.9762465815134316e-47	0.005439386476986319
